"LOCATION","Country","SUBJECT","Subject","GEO_COVERAGE","Geographical coverage","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","RPST01","RPPI - Total stock of newly-built and existing residential dwellings; all types of dwellings","CN","Whole country","IXOB","Index","A","Annual","2011","2011","IDX","Index","0","Units","2015_100","2015=100",79.13486005,,
"AUS","Australia","RPST01","RPPI - Total stock of newly-built and existing residential dwellings; all types of dwellings","CN","Whole country","IXOB","Index","A","Annual","2012","2012","IDX","Index","0","Units","2015_100","2015=100",78.88040712,,
"AUS","Australia","RPST01","RPPI - Total stock of newly-built and existing residential dwellings; all types of dwellings","CN","Whole country","IXOB","Index","A","Annual","2013","2013","IDX","Index","0","Units","2015_100","2015=100",84.10647876,,
"AUS","Australia","RPST01","RPPI - Total stock of newly-built and existing residential dwellings; all types of dwellings","CN","Whole country","IXOB","Index","A","Annual","2014","2014","IDX","Index","0","Units","2015_100","2015=100",91.72049325,,
"AUS","Australia","RPST01","RPPI - Total stock of newly-built and existing residential dwellings; all types of dwellings","CN","Whole country","IXOB","Index","A","Annual","2015","2015","IDX","Index","0","Units","2015_100","2015=100",100,,
"AUS","Australia","RPST01","RPPI - Total stock of newly-built and existing residential dwellings; all types of dwellings","CN","Whole country","IXOB","Index","A","Annual","2016","2016","IDX","Index","0","Units","2015_100","2015=100",105.5000979,,
"AUS","Australia","RPST01","RPPI - Total stock of newly-built and existing residential dwellings; all types of dwellings","CN","Whole country","IXOB","Index","A","Annual","2017","2017","IDX","Index","0","Units","2015_100","2015=100",114.3080838,,
"AUS","Australia","RPST01","RPPI - Total stock of newly-built and existing residential dwellings; all types of dwellings","CN","Whole country","GY","Percentage change on the same period of the previous year","A","Annual","2011","2011","PC","Percentage","0","Units",,,-2.15392062,,
"AUS","Australia","RPST01","RPPI - Total stock of newly-built and existing residential dwellings; all types of dwellings","CN","Whole country","GY","Percentage change on the same period of the previous year","A","Annual","2012","2012","PC","Percentage","0","Units",,,-0.321543408,,
"AUS","Australia","RPST01","RPPI - Total stock of newly-built and existing residential dwellings; all types of dwellings","CN","Whole country","GY","Percentage change on the same period of the previous year","A","Annual","2013","2013","PC","Percentage","0","Units",,,6.625310174,,
"AUS","Australia","RPST01","RPPI - Total stock of newly-built and existing residential dwellings; all types of dwellings","CN","Whole country","GY","Percentage change on the same period of the previous year","A","Annual","2014","2014","PC","Percentage","0","Units",,,9.052827554,,
"AUS","Australia","RPST01","RPPI - Total stock of newly-built and existing residential dwellings; all types of dwellings","CN","Whole country","GY","Percentage change on the same period of the previous year","A","Annual","2015","2015","PC","Percentage","0","Units",,,9.026888604,,
"AUS","Australia","RPST01","RPPI - Total stock of newly-built and existing residential dwellings; all types of dwellings","CN","Whole country","GY","Percentage change on the same period of the previous year","A","Annual","2016","2016","PC","Percentage","0","Units",,,5.500097867,,
"AUS","Australia","RPST01","RPPI - Total stock of newly-built and existing residential dwellings; all types of dwellings","CN","Whole country","GY","Percentage change on the same period of the previous year","A","Annual","2017","2017","PC","Percentage","0","Units",,,8.348794063,,
"AUS","Australia","RPST01","RPPI - Total stock of newly-built and existing residential dwellings; all types of dwellings","CN","Whole country","GP","Percentage change from previous period","A","Annual","2011","2011","PC","Percentage","0","Units",,,-2.15392062,,
"AUS","Australia","RPST01","RPPI - Total stock of newly-built and existing residential dwellings; all types of dwellings","CN","Whole country","GP","Percentage change from previous period","A","Annual","2012","2012","PC","Percentage","0","Units",,,-0.321543408,,
"AUS","Australia","RPST01","RPPI - Total stock of newly-built and existing residential dwellings; all types of dwellings","CN","Whole country","GP","Percentage change from previous period","A","Annual","2013","2013","PC","Percentage","0","Units",,,6.625310174,,
"AUS","Australia","RPST01","RPPI - Total stock of newly-built and existing residential dwellings; all types of dwellings","CN","Whole country","GP","Percentage change from previous period","A","Annual","2014","2014","PC","Percentage","0","Units",,,9.052827554,,
"AUS","Australia","RPST01","RPPI - Total stock of newly-built and existing residential dwellings; all types of dwellings","CN","Whole country","GP","Percentage change from previous period","A","Annual","2015","2015","PC","Percentage","0","Units",,,9.026888604,,
"AUS","Australia","RPST01","RPPI - Total stock of newly-built and existing residential dwellings; all types of dwellings","CN","Whole country","GP","Percentage change from previous period","A","Annual","2016","2016","PC","Percentage","0","Units",,,5.500097867,,
"AUS","Australia","RPST01","RPPI - Total stock of newly-built and existing residential dwellings; all types of dwellings","CN","Whole country","GP","Percentage change from previous period","A","Annual","2017","2017","PC","Percentage","0","Units",,,8.348794063,,
"AUT","Austria","RP0101","RPPI - Sales of newly-built and existing dwellings; all types of dwellings","CN","Whole country","IXOB","Index","A","Annual","2011","2011","IDX","Index","0","Units","2015_100","2015=100",81.5975,,
"AUT","Austria","RP0101","RPPI - Sales of newly-built and existing dwellings; all types of dwellings","CN","Whole country","IXOB","Index","A","Annual","2012","2012","IDX","Index","0","Units","2015_100","2015=100",87.57,,
"AUT","Austria","RP0101","RPPI - Sales of newly-built and existing dwellings; all types of dwellings","CN","Whole country","IXOB","Index","A","Annual","2013","2013","IDX","Index","0","Units","2015_100","2015=100",92.1,,
"AUT","Austria","RP0101","RPPI - Sales of newly-built and existing dwellings; all types of dwellings","CN","Whole country","IXOB","Index","A","Annual","2014","2014","IDX","Index","0","Units","2015_100","2015=100",95.33,,
"AUT","Austria","RP0101","RPPI - Sales of newly-built and existing dwellings; all types of dwellings","CN","Whole country","IXOB","Index","A","Annual","2015","2015","IDX","Index","0","Units","2015_100","2015=100",100,,
"AUT","Austria","RP0101","RPPI - Sales of newly-built and existing dwellings; all types of dwellings","CN","Whole country","IXOB","Index","A","Annual","2016","2016","IDX","Index","0","Units","2015_100","2015=100",108.5325,,
"AUT","Austria","RP0101","RPPI - Sales of newly-built and existing dwellings; all types of dwellings","CN","Whole country","IXOB","Index","A","Annual","2017","2017","IDX","Index","0","Units","2015_100","2015=100",114.2588,,
"AUT","Austria","RPNW01","RPPI - Sales of newly-built dwellings; all types of dwellings","CN","Whole country","IXOB","Index","A","Annual","2011","2011","IDX","Index","0","Units","2015_100","2015=100",82.1925,,
"AUT","Austria","RPNW01","RPPI - Sales of newly-built dwellings; all types of dwellings","CN","Whole country","IXOB","Index","A","Annual","2012","2012","IDX","Index","0","Units","2015_100","2015=100",87.385,,
"AUT","Austria","RPNW01","RPPI - Sales of newly-built dwellings; all types of dwellings","CN","Whole country","IXOB","Index","A","Annual","2013","2013","IDX","Index","0","Units","2015_100","2015=100",91.01,,
"AUT","Austria","RPNW01","RPPI - Sales of newly-built dwellings; all types of dwellings","CN","Whole country","IXOB","Index","A","Annual","2014","2014","IDX","Index","0","Units","2015_100","2015=100",95.435,,
"AUT","Austria","RPNW01","RPPI - Sales of newly-built dwellings; all types of dwellings","CN","Whole country","IXOB","Index","A","Annual","2015","2015","IDX","Index","0","Units","2015_100","2015=100",100,,
"AUT","Austria","RPNW01","RPPI - Sales of newly-built dwellings; all types of dwellings","CN","Whole country","IXOB","Index","A","Annual","2016","2016","IDX","Index","0","Units","2015_100","2015=100",103.795,,
"AUT","Austria","RPNW01","RPPI - Sales of newly-built dwellings; all types of dwellings","CN","Whole country","IXOB","Index","A","Annual","2017","2017","IDX","Index","0","Units","2015_100","2015=100",109.97125,,
