,LOCATION,Country
897,AUT,Austria
1794,BEL,Belgium
3601,CZE,Czech Republic
4498,DNK,Denmark
5408,FIN,Finland
6318,FRA,France
7228,DEU,Germany
9009,HUN,Hungary
9906,ISL,Iceland
10777,IRL,Ireland
11669,ITA,Italy
12566,JPN,Japan
14346,LUX,Luxembourg
15242,MEX,Mexico
15957,NLD,Netherlands
16867,NZL,New Zealand
18648,POL,Poland
19545,PRT,Portugal
20429,SVK,Slovak Republic
21287,ESP,Spain
22171,SWE,Sweden
23978,TUR,Turkey
24641,GBR,United Kingdom
27746,CHL,Chile
28682,EST,Estonia
31567,SVN,Slovenia
36648,LVA,Latvia
40640,LTU,Lithuania
